city,country,population,EU,coastline,latitude,longitude,temperature
Aalborg,Denmark,5.69,yes,yes,57.03,9.92,7.52
Aberdeen,United Kingdom,65.11,yes,yes,57.17,-2.08,8.1
Abisko,Sweden,9.85,yes,yes,63.35,18.83,0.2
Adana,Turkey,79.62,no,yes,36.99,35.32,18.67
Albacete,Spain,46.06,yes,yes,39,-1.87,12.62
Algeciras,Spain,46.06,yes,yes,36.13,-5.47,17.38
Amiens,France,64.67,yes,yes,49.9,2.3,10.17
Amsterdam,Netherlands,16.98,yes,yes,52.35,4.92,8.93
Ancona,Italy,59.8,yes,yes,43.6,13.5,13.52
Andorra,Andorra,0.07,no,no,42.5,1.52,9.6
Angers,France,64.67,yes,yes,47.48,-0.53,10.98
Ankara,Turkey,79.62,no,yes,39.93,32.86,9.86
Antalya,Turkey,79.62,no,yes,36.89,30.7,11.88
Arad,Romania,19.37,yes,yes,46.17,21.32,9.32
Athens,Greece,10.92,yes,yes,37.98,23.73,17.41
Augsburg,Germany,80.68,yes,yes,48.35,10.9,4.54
Bacau,Romania,19.37,yes,yes,46.58,26.92,7.51
Badajoz,Spain,46.06,yes,yes,38.88,-6.97,15.61
Baia Mare,Romania,19.37,yes,yes,47.66,23.58,8.87
Balti,Moldova,4.06,no,no,47.76,27.91,8.23
Barcelona,Spain,46.06,yes,yes,41.38,2.18,15.78
Bari,Italy,59.8,yes,yes,41.11,16.87,15.15
Basel,Switzerland,8.38,no,no,47.58,7.59,6.68
Batman,Turkey,79.62,no,yes,37.89,41.14,14.16
Belfast,United Kingdom,65.11,yes,yes,54.6,-5.96,8.48
Belgrade,Serbia,8.81,no,no,44.82,20.47,9.85
Bergamo,Italy,59.8,yes,yes,45.7,9.67,9.12
Bergen,Norway,5.27,no,yes,60.39,5.32,1.75
Berlin,Germany,80.68,yes,yes,52.52,13.4,8.72
Bialystok,Poland,38.59,yes,yes,53.15,23.17,6.07
Bielefeld,Germany,80.68,yes,yes,52.03,8.53,8.78
Bila Tserkva,Ukraine,44.62,no,yes,49.77,30.13,6.98
